title,year,distributor,release_date,rating_score,summary,director,genres/0,runtime
The French Connection,1971,Twentieth Century Fox Film Corporation," October 7, 1971",8.4,"New York narcotics officer ""Popeye"" Doyle and his partner take on an international drug ring shipping heroin into the United States.",William Friedkin,Action,104
La La Land,2016,Lionsgate," December 9, 2016",8.4,"Mia (Emma Stone), an aspiring actress, serves lattes to movie stars in between auditions, and Sebastian (Ryan Gosling), a dedicated jazz musician, scrapes by playing cocktail piano gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so… Expand",Damien Chazelle,Drama,128
"Crouching Tiger, Hidden Dragon",2000,Sony Pictures Classics," December 8, 2000",8.1,"In 19th century China, a magical sword given by a warrior (Chow Yun-Fat) to his lover (Michelle Yeoh) is stolen and the quest to find it ensues. The search leads to the House of Yu where the story travels in a different direction with the introduction of a mysterious assassin and another love story.",Ang Lee,Action,120
Petite Maman,2021,Neon," December 3, 2021",7.7,Nelly has just lost her grandmother and is helping her parents clean out her mother's childhood home. She explores the house and the surrounding woods. One day she meets a girl her same age building a treehouse.,Céline Sciamma,Drama,72
Call Me by Your Name,2017,Sony Pictures Classics," November 24, 2017",7.9,"It’s the summer of 1983 in the north of Italy, and Elio Perlman (Timothée Chalamet), a precocious 17- year-old American-Italian, spends his days in his family’s 17th century villa transcribing and playing classical music, reading, and flirting with his friend Marzia (Esther Garrel). Elio enjoys a close relationship with his father (Michael… Expand",Luca Guadagnino,Drama,132
The Magnificent Ambersons,1942,RKO Radio Pictures," July 10, 1942",8.6,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,Fred Fleck,Drama,88
Reversal of Fortune,1990,Warner Bros. Pictures," October 17, 1990",8.1,"Jeremy Irons plays socialite Claus von Bulow, seeking legal exoneration in the most sensational attempted murder scandal of the 1980s. (Warner Bros.)",Barbet Schroeder,Drama,111
David Byrne’s American Utopia,2020,Home Box Office (HBO),"Release Date (Streaming): October 17, 2020",7.4,"David Byrne’s American Utopia brings the critically acclaimed Broadway show to HBO in a one-of-a-kind film directed by Spike Lee. Recorded during its run at Broadway’s Hudson Theatre in New York City, David Byrne is joined by an ensemble of 11 musicians, singers, and dancers from around the globe, inviting audiences into a joyous dreamworld… Expand",Spike Lee,Music,105
Lady Bird,2017,A24," November 3, 2017",7.6,"Christine ""Lady Bird"" McPherson (Saoirse Ronan) fights against but is exactly like her wildly loving, deeply opinionated and strong-willed mom (Laurie Metcalf), a nurse working tirelessly to keep her family afloat after Lady Bird's father (Tracy Letts) loses his job. Set in Sacramento, California in 2002, amidst a rapidly shifting American… Expand",Greta Gerwig,Drama,94
Saint Omer,-1,, TBA,-1,"Rama, a novelist, attends the trial of Laurence Coly at the Saint-Omer Criminal Court to use her story to write a modern-day adaptation of the ancient myth of Medea, but things don't go as expected.",Alice Diop,Drama,122
Shoplifters,2018,Magnolia Pictures," November 23, 2018",8.4,"After one of their shoplifting sessions, Osamu and his son come across a little girl in the freezing cold. At first reluctant to shelter the girl, Osamu’s wife agrees to take care of her after learning of the hardships she faces.Although the family is poor, barely making enough money to survive through petty crime, they seem to live happily… Expand",Hirokazu Koreeda,Drama,121
Shoah: Four Sisters,2018,Cohen Media Group," November 14, 2018",-1,"Starting in 1999, Claude Lanzmann made several films that could be considered satellites of Shoah, comprised of interviews conducted in the 1970s that didn’t make it into the final, monumental work. In the last years of the late director’s life, he decided to devote a film to four women from four different areas of Eastern Europe with four… Expand",Claude Lanzmann,History,273
The 39 Steps,1935,Gaumont British Distributors," August 1, 1935",8,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",Alfred Hitchcock,Mystery,86
Duck Soup,1933,Paramount Pictures," November 17, 1933",7.9,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Leo McCarey,Comedy,68
Days of Heaven,1978,Paramount Pictures," September 13, 1978",8.4,"One of the most critically acclaimed films of all time, Days Of Heaven is a moving story about two men who love the same woman. A fugitive from the slums of Chicago, finds himself pitted against a shy, rich Texan for the love of Abby. Writer/director Malick's film is an extraordinary cinematic achievement of sight and sound. [Paramount Pictures]",Terrence Malick,Drama,94
Toni Erdmann,2016,Sony Pictures Classics," December 25, 2016",7,Winfried (Peter Simonischek) doesn’t see much of his working daughter Ines (Sandra Hüller). The suddenly student-less music teacher decides to surprise her with a visit after the death of his old dog. It’s an awkward move because serious career woman Ines is working on an important project as a corporate strategist in Bucharest. The… Expand,Maren Ade,Drama,162
Yi Yi,2000,WinStar Cinema," October 6, 2000",8.4,"This film portrays life through portraits of the individual members of a Taiwanese family, each representing a stage from birth to death. [WinStar Cinema]",Edward Yang,Drama,173
McCabe & Mrs. Miller,1971,Warner Bros.," June 24, 1971",8,"A gambler and a prostitute become business partners in a remote Old West mining town, and their enterprise thrives until a large corporation arrives on the scene.",Robert Altman,Drama,120
Inside Llewyn Davis,2013,CBS Films," December 6, 2013",7.8,"Llewyn Davis is at a crossroads. Guitar in tow, huddled against the unforgiving New York winter of 1961, he struggles to make it as a musician against seemingly insurmountable obstacles - some of them of his own making.",Ethan Coen,Drama,104
The Best Years of Our Lives,1946,RKO Radio Pictures," December 25, 1946",8.5,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,William Wyler,Drama,170
Stagecoach,1939,United Artists," March 3, 1939",7.6,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,John Ford,Adventure,96
Sherpa,2015,," October 2, 2015",7.6,"A fight on Everest? It seemed incredible. But in 2013 news channels around the world reported an ugly brawl at 21,000ft as European climbers fled a mob of angry Sherpas. In 1953, New Zealander Edmund Hillary and Sherpa Tenzing Norgay had reached the summit in a spirit of co-operation and brave optimism. Now climbers and Sherpas were trading… Expand",Jennifer Peedom,Documentary,96
There Will Be Blood,2007,Paramount Vantage," December 26, 2007",8.1,"When Daniel Plainview gets a mysterious tip-off that there's a little town out West where an ocean of oil is oozing out of the ground, he heads there with his son, H.W., to take their chances in dust-worn Little Boston. In this hardscrabble town, where the main excitement centers around the Holy Roller church of charismatic preacher Eli… Expand",Paul Thomas Anderson,Drama,158
Badlands,1973,Warner Bros. Pictures," October 15, 1973",8.4,"Loosely based on the Starkweather-Fugate killing spree of 1958, Terrence Malick's debut features follows outlaws Kit and Holly from Fort Dupre, South Dakota to the badlands of Montana.",Terrence Malick,Drama,94
The Last Picture Show,1971,Columbia Pictures," October 22, 1971",8.3,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied West Texas town that is slowly dying, both culturally and economically.",Peter Bogdanovich,Drama,118
Do the Right Thing,1989,Universal Pictures," June 30, 1989",8.2,"Set on the hottest day of the summer, the film examines various personal, social and economic issues through the eyes of an ensemble of neighborhood characters on a Bedford Stuyvesant block in Brooklyn.",Spike Lee,Drama,120
Sita Sings the Blues,2009,GKIDS," December 25, 2009",7.2,"Sita is a goddess separated from her beloved Lord and husband Rama. Nina is an animator whose husband moves to India, then dumps her by email. Three hilarious shadow puppets narrate both ancient tragedy and modern comedy in this beautifully animated interpretation of the Indian epic Ramayana. Set to the 1920's jazz vocals of Annette… Expand",Nina Paley,Fantasy,82
The Decline of Western Civilization,1981,Nu-Image," July 5, 1981",7,"The Los Angeles punk music scene circa 1980 is the focus of this film. With Alice Bag Band, Black Flag, Catholic Discipline, Circle Jerks, Fear, Germs, and X.",Penelope Spheeris,History,100
Yojimbo,1961,Toho Company," September 13, 1961",7.8,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Action,110
Rio Bravo,1959,Warner Bros.," April 4, 1959",8,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Howard Hawks,Action,141
Brother's Keeper,1992,Creative Thinking International Ltd.," September 9, 1992",7,"This documentary by Joe Berlinger and Bruce Sinofsky details the murder trial of Delbert Ward. Delbert's of a family of 4 brothers (the other 3 being Roscoe, Lyman and William - Bill, for short), working as semi-literate farmers, and living together in isolation in a ramshackle shack, until William's death. The subsequent police… Expand",Bruce Sinofsky,Mystery,104
Sankofa,1993,Netflix," May 28, 1993",-1,"Mona (Oyafunmike Ogunlano) is a Black American fashion model on a photo shoot in Cape Coast, Ghana. Through Mr. Gerima’s imaginative storytelling, she undergoes a journey back in time to a plantation in North America. There she becomes Shola, an enslaved African woman who labors in the master’s house and experiences the horrors of slavery… Expand",Haile Gerima,Drama,125
Crumb,1995,Sony Pictures Classics," April 28, 1995",8.4,A documentary of artist Robert Crumb's life.,Terry Zwigoff,Biography,119
Spotlight,2015,Open Road Films (II)," November 6, 2015",8.2,"Spotlight tells the riveting true story of the Pulitzer Prize-winning Boston Globe investigation that would rock the city and cause a crisis in one of the world’s oldest and most trusted institutions. When the newspaper’s tenacious “Spotlight” team of reporters delve into allegations of abuse in the Catholic Church, their year-long… Expand",Thomas McCarthy,Biography,128
